school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
The Indian High School - Branch,Al Garhoud,25.248436,55.340581,KG1-G4,4195.0,1988.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.1159920988756215,44,83,584,2312,GGICO,0.1301958817727926,10,40,240,540,0,39,14,24,24,24,0.1245143686139241,0.093,0.104,1.18
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,KG1-G12,1689.0,1973.0,Pakistani,Pakistan Education Acedemy,General Practice,0.0073506630485379,64,231,673,2312,Oud Metha,0.2205757304098616,10,50,240,540,0,59,16,24,24,24,0.1352857034653321,0.006,0.176,1.173
GEMS Winchester School,Oud Metha,25.23142,55.321741,FS1-G8,3481.0,2011.0,UK,Mediclinic City Hospital FZ-LLC,Anesthesia,0.1511597657448397,121,157,623,2312,Dubai Health Care,0.1270028386083805,10,30,210,540,0,54,15,21,21,21,0.1366656094629642,0.121,0.102,1.179
The Kindergarten Starters,Al Garhoud,25.247964,55.339353,KG1-G5,5511.0,1982.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.101289441292697,43,87,583,2312,GGICO,0.183710341945827,10,30,230,540,0,39,14,23,23,23,0.150741981684575,0.081,0.147,1.174
Al Eman Private School,Al Rashidiya,25.230481,55.389272,KG1-G9,494.0,1973.0,MOE,Be You Plus Clinic LLC,General Dentistry,0.109352461559098,6,9,179,2312,Rashidiya,0.195850493800016,10,10,70,540,0,6,1,7,7,7,0.1612512809036488,0.087,0.157,1.102
Dubai International School - Al Garhoud,Al Garhoud,25.248367,55.341864,KG1-G12,2458.0,1985.0,US,Dubai International Pvt. School,General Practice,0.0763835961852986,43,80,590,2312,GGICO,0.2228745441445464,10,40,230,540,0,40,14,23,23,23,0.1642781649608473,0.061,0.178,1.17
English Language Private School,Umm Hurair,25.241956,55.317775,FS1-G11,1528.0,1982.0,UK,Pakistan Education Acedemy,General Practice,0.0862327831326665,63,224,673,2312,Oud Metha,0.2639135451186655,10,50,240,540,0,59,15,24,24,24,0.1928412403242659,0.069,0.211,1.165
Towheed Iranian School for Girls,Al Karama,25.252983,55.306842,G1-G12,279.0,1958.0,Iranian,Iranian Towheed Girls School,Nursing,0.0322756250947036,65,189,663,2312,BurJuman,0.3334370678640572,10,60,220,540,0,59,16,22,22,22,0.2129724907563157,0.026,0.267,1.159
The Indian High School,Oud Metha,25.240542,55.315133,G5-G12,5896.0,1961.0,Indian(CBSE),The Indian High School Clinic,General Practice,0.0174338087254843,79,218,676,2312,Oud Metha,0.3572399335285451,10,40,230,540,0,58,16,23,23,23,0.2213174836073208,0.014,0.286,1.156
Adab Iranian Private School - Boys,Al Qusais,25.276381,55.368653,KG1-G12,260.0,1989.0,Iranian,Adab Iranian Pvt. School,Nursing,0.044365103538283,18,83,318,2312,Al Nahda,0.3523910115457023,30,40,150,540,0,19,6,15,15,15,0.2291806483427346,0.035,0.282,1.156
